idSatker,idKldi,kldi,historical_display_name,historical_name_variant_count,historical_name_variants,current_name_authority,current_name_status,historical_governed_package_count,historical_governed_total_pagu,historical_demand_families,historical_semantic_states,first_observed_package_id,last_observed_package_id,taxonomy_version,taxonomy_sha256,printing_resolver_version,historical_only,current_opportunity_authority,contact_authority,outreach_authority,email_send_authority
77017,D444,Kab. Kolaka,KECAMATAN BAULA,1,"[{""name"":""KECAMATAN BAULA"",""count"":1,""first_observed_package_id"":65135608,""last_observed_package_id"":65135608}]",False,NOT_CURRENTLY_VERIFIED,1,34178000.0,"[""PRINTING_HARDWARE""]","[""PURCHASE_EXPLICIT""]",65135608,65135608,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77044,L47,Kepolisian Negara Republik Indonesia,DITINTELKAM POLDA BANTEN,1,"[{""name"":""DITINTELKAM POLDA BANTEN"",""count"":2,""first_observed_package_id"":63659883,""last_observed_package_id"":66145028}]",False,NOT_CURRENTLY_VERIFIED,2,45600000.0,"[""PRINTING_HARDWARE""]","[""PURCHASE_EXPLICIT""]",63659883,66145028,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77074,D149,Kab. Purbalingga,DINAS PENDIDIKAN DAN KEBUDAYAAN,1,"[{""name"":""DINAS PENDIDIKAN DAN KEBUDAYAAN"",""count"":2,""first_observed_package_id"":63737955,""last_observed_package_id"":63847810}]",False,NOT_CURRENTLY_VERIFIED,2,5652000.0,"[""PRINTING_CONSUMABLES"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION"",""PARTS_CONSUMABLE""]",63737955,63847810,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77111,D149,Kab. Purbalingga,SMP NEGERI 2 KALIMANAH,1,"[{""name"":""SMP NEGERI 2 KALIMANAH"",""count"":1,""first_observed_package_id"":64329665,""last_observed_package_id"":64329665}]",False,NOT_CURRENTLY_VERIFIED,1,24400000.0,"[""COMPUTING""]","[""PRODUCT_ONLY_UNCONTRADICTED""]",64329665,64329665,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77212,D149,Kab. Purbalingga,KECAMATAN PURBALINGGA,1,"[{""name"":""KECAMATAN PURBALINGGA"",""count"":1,""first_observed_package_id"":63873384,""last_observed_package_id"":63873384}]",False,NOT_CURRENTLY_VERIFIED,1,500000.0,"[""OFFICE_APPLIANCE""]","[""PRODUCT_ONLY_UNCONTRADICTED""]",63873384,63873384,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77223,D149,Kab. Purbalingga,KECAMATAN PENGADEGAN,1,"[{""name"":""KECAMATAN PENGADEGAN"",""count"":1,""first_observed_package_id"":64361990,""last_observed_package_id"":64361990}]",False,NOT_CURRENTLY_VERIFIED,1,630000.0,"[""PRINTING_CONSUMABLES""]","[""PARTS_CONSUMABLE""]",64361990,64361990,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77250,L52,Lembaga Penyiaran Radio Republik Indonesia,RRI NUNUKAN,1,"[{""name"":""RRI NUNUKAN"",""count"":3,""first_observed_package_id"":66378400,""last_observed_package_id"":66379226}]",False,NOT_CURRENTLY_VERIFIED,3,28500000.0,"[""AIR_CONDITIONING"",""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION""]",66378400,66379226,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77251,L52,Lembaga Penyiaran Radio Republik Indonesia,RRI BOUVEN DIGUL,1,"[{""name"":""RRI BOUVEN DIGUL"",""count"":3,""first_observed_package_id"":66387614,""last_observed_package_id"":66387618}]",False,NOT_CURRENTLY_VERIFIED,3,29120000.0,"[""AIR_CONDITIONING"",""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION"",""PRODUCT_ONLY_UNCONTRADICTED""]",66387614,66387618,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77253,L52,Lembaga Penyiaran Radio Republik Indonesia,RRI BATAM,1,"[{""name"":""RRI BATAM"",""count"":3,""first_observed_package_id"":62141569,""last_observed_package_id"":62141588}]",False,NOT_CURRENTLY_VERIFIED,3,31500000.0,"[""AIR_CONDITIONING"",""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION""]",62141569,62141588,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77254,L52,Lembaga Penyiaran Radio Republik Indonesia,RRI MEULABOH,1,"[{""name"":""RRI MEULABOH"",""count"":3,""first_observed_package_id"":62446293,""last_observed_package_id"":62446307}]",False,NOT_CURRENTLY_VERIFIED,3,77800000.0,"[""AIR_CONDITIONING"",""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION""]",62446293,62446307,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
