institution_name,institution_display_name,parent_organization,work_unit,location_hint,target_level,total_relevant_packages,total_pagu,months_found,relevant_categories,official_website,contact_email,contact_phone,contact_person,contact_role,contact_source_url,contact_source_type,contact_notes
BADAN PUSAT STATISTIK KAB JEMBER,BADAN PUSAT STATISTIK KAB JEMBER — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB JEMBER,"Jawa Timur, Jember (Kab.)",NATIONAL,1,1639000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB KAPUAS,BADAN PUSAT STATISTIK KAB KAPUAS — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB KAPUAS,"Kalimantan Tengah, Kapuas (Kab.)",NATIONAL,1,125000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB KEDIRI,BADAN PUSAT STATISTIK KAB KEDIRI — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB KEDIRI,"Jawa Timur, Kediri (Kab.)",NATIONAL,1,972000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB KEEROM,BADAN PUSAT STATISTIK KAB KEEROM — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB KEEROM,"Papua, Keerom (Kab.)",NATIONAL,7,5863000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB KENDAL,BADAN PUSAT STATISTIK KAB KENDAL — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB KENDAL,"Jawa Tengah, Kendal (Kab.)",NATIONAL,3,7166000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB KEPULAUAN ARU,BADAN PUSAT STATISTIK KAB KEPULAUAN ARU — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB KEPULAUAN ARU,"Maluku, Kepulauan Aru (Kab.)",NATIONAL,4,3050000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB KERINCI,BADAN PUSAT STATISTIK KAB KERINCI — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB KERINCI,"Jambi, Kerinci (Kab.)",NATIONAL,1,927000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB KETAPANG,BADAN PUSAT STATISTIK KAB KETAPANG — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB KETAPANG,"Kalimantan Barat, Ketapang (Kab.)",NATIONAL,4,11883000,June 2026; May 2026,IT_HARDWARE; PRINTER,,,,,,,,
BADAN PUSAT STATISTIK KAB KOLAKA UTARA,BADAN PUSAT STATISTIK KAB KOLAKA UTARA — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB KOLAKA UTARA,"Sulawesi Tenggara, Kolaka Utara (Kab.)",NATIONAL,7,12175000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB KOLAKA,BADAN PUSAT STATISTIK KAB KOLAKA — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB KOLAKA,"Sulawesi Tenggara, Kolaka (Kab.)",NATIONAL,4,1979000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB KOTABARU,BADAN PUSAT STATISTIK KAB KOTABARU — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB KOTABARU,"Kalimantan Selatan, Kota Baru (Kab.)",NATIONAL,7,12798000,June 2026; May 2026,IT_HARDWARE; UPS,,,,,,,,
BADAN PUSAT STATISTIK KAB KUPANG,BADAN PUSAT STATISTIK KAB KUPANG — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB KUPANG,"Nusa Tenggara Timur, Kupang (Kab.)",NATIONAL,1,6125000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB KUTAI BARAT,BADAN PUSAT STATISTIK KAB KUTAI BARAT — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB KUTAI BARAT,"Kalimantan Timur, Kutai Barat (Kab.)",NATIONAL,2,575000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB KUTAI KARTANEGARA,BADAN PUSAT STATISTIK KAB KUTAI KARTANEGARA — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB KUTAI KARTANEGARA,"Kalimantan Timur, Kutai Kartanegara (Kab.)",NATIONAL,2,3763000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB KUTAI TIMUR,BADAN PUSAT STATISTIK KAB KUTAI TIMUR — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB KUTAI TIMUR,"Kalimantan Timur, Kutai Timur (Kab.)",NATIONAL,1,2838000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB LAMANDAU,BADAN PUSAT STATISTIK KAB LAMANDAU — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB LAMANDAU,"Kalimantan Tengah, Lamandau (Kab.)",NATIONAL,7,15300000,June 2026; May 2026,IT_HARDWARE; PRINTER,,,,,,,,
BADAN PUSAT STATISTIK KAB LAMONGAN,BADAN PUSAT STATISTIK KAB LAMONGAN — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB LAMONGAN,"Jawa Timur, Lamongan (Kab.)",NATIONAL,1,4597000,June 2026,PRINTER,,,,,,,,
BADAN PUSAT STATISTIK KAB LAMPUNG BARAT,BADAN PUSAT STATISTIK KAB LAMPUNG BARAT — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB LAMPUNG BARAT,"Lampung, Lampung Barat (Kab.)",NATIONAL,3,7573000,June 2026,IT_HARDWARE; PRINTER; UPS,,,,,,,,
BADAN PUSAT STATISTIK KAB LAMPUNG TIMUR,BADAN PUSAT STATISTIK KAB LAMPUNG TIMUR — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB LAMPUNG TIMUR,"Lampung, Lampung Timur (Kab.)",NATIONAL,5,13752000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB LAMPUNG UTARA,BADAN PUSAT STATISTIK KAB LAMPUNG UTARA — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB LAMPUNG UTARA,"Lampung, Lampung Utara (Kab.)",NATIONAL,3,3457000,June 2026; May 2026,IT_HARDWARE; UPS,,,,,,,,
BADAN PUSAT STATISTIK KAB LANDAK,BADAN PUSAT STATISTIK KAB LANDAK — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB LANDAK,"Kalimantan Barat, Landak (Kab.)",NATIONAL,6,6338000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB LEBAK,BADAN PUSAT STATISTIK KAB LEBAK — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB LEBAK,"Banten, Lebak (Kab.)",NATIONAL,1,12250000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB LEMBATA,BADAN PUSAT STATISTIK KAB LEMBATA — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB LEMBATA,"Nusa Tenggara Timur, Lembata (Kab.)",NATIONAL,2,956000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB LIMA PULUH KOTA,BADAN PUSAT STATISTIK KAB LIMA PULUH KOTA — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB LIMA PULUH KOTA,"Sumatera Barat, Lima Puluh Kota (Kab.)",NATIONAL,7,41880000,June 2026; May 2026,IT_HARDWARE; LAPTOP; PRINTER,,,,,,,,
BADAN PUSAT STATISTIK KAB LINGGA,BADAN PUSAT STATISTIK KAB LINGGA — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB LINGGA,"Kepulauan Riau, Lingga (Kab.)",NATIONAL,2,2500000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB LOMBOK TENGAH,BADAN PUSAT STATISTIK KAB LOMBOK TENGAH — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB LOMBOK TENGAH,"Nusa Tenggara Barat, Lombok Tengah (Kab.)",NATIONAL,1,300000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB LUMAJANG,BADAN PUSAT STATISTIK KAB LUMAJANG — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB LUMAJANG,"Jawa Timur, Lumajang (Kab.)",NATIONAL,4,37158000,May 2026,IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
BADAN PUSAT STATISTIK KAB MAGELANG,BADAN PUSAT STATISTIK KAB MAGELANG — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB MAGELANG,"Jawa Tengah, Magelang (Kab.)",NATIONAL,7,6217000,June 2026; May 2026,IT_HARDWARE; UPS,,,,,,,,
BADAN PUSAT STATISTIK KAB MAGETAN,BADAN PUSAT STATISTIK KAB MAGETAN — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB MAGETAN,"Jawa Timur, Magetan (Kab.)",NATIONAL,2,2250000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB MAJENE,BADAN PUSAT STATISTIK KAB MAJENE — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB MAJENE,"Sulawesi Barat, Majene (Kab.)",NATIONAL,1,2838000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB MALAKA,BADAN PUSAT STATISTIK KAB MALAKA — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB MALAKA,"Nusa Tenggara Timur, Malaka (Kab.)",NATIONAL,3,1607000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB MALINAU,BADAN PUSAT STATISTIK KAB MALINAU — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB MALINAU,"Kalimantan Utara, Malinau (Kab.)",NATIONAL,1,927000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB MAMUJU TENGAH,BADAN PUSAT STATISTIK KAB MAMUJU TENGAH — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB MAMUJU TENGAH,"Sulawesi Barat, Mamuju Tengah (Kab.)",NATIONAL,2,675000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB MANGGARAI TIMUR,BADAN PUSAT STATISTIK KAB MANGGARAI TIMUR — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB MANGGARAI TIMUR,"Nusa Tenggara Timur, Manggarai Timur (Kab.)",NATIONAL,2,3088000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB MERAUKE,BADAN PUSAT STATISTIK KAB MERAUKE — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB MERAUKE,"Papua Selatan, Merauke (Kab.)",NATIONAL,7,20558000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB MOJOKERTO,BADAN PUSAT STATISTIK KAB MOJOKERTO — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB MOJOKERTO,"Jawa Timur, Mojokerto (Kab.)",NATIONAL,4,13675000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB MOROWALI,BADAN PUSAT STATISTIK KAB MOROWALI — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB MOROWALI,"Sulawesi Tengah, Morowali (Kab.)",NATIONAL,5,29625000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB MURUNG RAYA,BADAN PUSAT STATISTIK KAB MURUNG RAYA — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB MURUNG RAYA,"Kalimantan Tengah, Murung Raya (Kab.)",NATIONAL,2,8000000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB MUSI RAWAS,BADAN PUSAT STATISTIK KAB MUSI RAWAS — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB MUSI RAWAS,"Sumatera Selatan, Musi Rawas (Kab.)",NATIONAL,1,125000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB NGADA,BADAN PUSAT STATISTIK KAB NGADA — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB NGADA,"Nusa Tenggara Timur, Ngada (Kab.)",NATIONAL,2,5512000,June 2026,PRINTER; UPS,,,,,,,,
BADAN PUSAT STATISTIK KAB NGAWI,BADAN PUSAT STATISTIK KAB NGAWI — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB NGAWI,"Jawa Timur, Ngawi (Kab.)",NATIONAL,2,12500000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB NIAS,BADAN PUSAT STATISTIK KAB NIAS — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB NIAS,"Sumatera Utara, Nias (Kab.)",NATIONAL,2,3186000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB OGAN KOMERING ULU SELATAN,BADAN PUSAT STATISTIK KAB OGAN KOMERING ULU SELATAN — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB OGAN KOMERING ULU SELATAN,"Sumatera Selatan, Ogan Komering Ulu Selatan (Kab.)",NATIONAL,1,2838000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB PADANG PARIAMAN,BADAN PUSAT STATISTIK KAB PADANG PARIAMAN — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB PADANG PARIAMAN,"Sumatera Barat, Padang Pariaman (Kab.)",NATIONAL,4,4021000,June 2026; May 2026,IT_HARDWARE; UPS,,,,,,,,
BADAN PUSAT STATISTIK KAB PANDEGLANG,BADAN PUSAT STATISTIK KAB PANDEGLANG — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB PANDEGLANG,"Banten, Pandeglang (Kab.)",NATIONAL,1,1420000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB PARIGI MOUTONG,BADAN PUSAT STATISTIK KAB PARIGI MOUTONG — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB PARIGI MOUTONG,"Sulawesi Tengah, Parigi Moutong (Kab.)",NATIONAL,2,5300000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB PASAMAN BARAT,BADAN PUSAT STATISTIK KAB PASAMAN BARAT — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB PASAMAN BARAT,"Sumatera Barat, Pasaman Barat (Kab.)",NATIONAL,2,3338000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB PEGUNUNGAN BINTANG,BADAN PUSAT STATISTIK KAB PEGUNUNGAN BINTANG — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB PEGUNUNGAN BINTANG,"Papua Pegunungan, Pegunungan Bintang (Kab.)",NATIONAL,2,1275000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB PEKALONGAN,BADAN PUSAT STATISTIK KAB PEKALONGAN — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB PEKALONGAN,"Jawa Tengah, Pekalongan (Kab.)",NATIONAL,1,125000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB PEMALANG,BADAN PUSAT STATISTIK KAB PEMALANG — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB PEMALANG,"Jawa Tengah, Pemalang (Kab.)",NATIONAL,3,4950000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB PENUKAL ABAB LEMATANG ILIR,BADAN PUSAT STATISTIK KAB PENUKAL ABAB LEMATANG ILIR — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB PENUKAL ABAB LEMATANG ILIR,"Sumatera Selatan, Penukal Abab Lematang Ilir (Kab.)",NATIONAL,6,4086000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB PESISIR SELATAN,BADAN PUSAT STATISTIK KAB PESISIR SELATAN — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB PESISIR SELATAN,"Sumatera Barat, Pesisir Selatan (Kab.)",NATIONAL,5,13090000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB PROBOLINGGO,BADAN PUSAT STATISTIK KAB PROBOLINGGO — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB PROBOLINGGO,"Jawa Timur, Probolinggo (Kab.)",NATIONAL,1,7500000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB SAMBAS,BADAN PUSAT STATISTIK KAB SAMBAS — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB SAMBAS,"Kalimantan Barat, Sambas (Kab.)",NATIONAL,3,3036000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB SAMOSIR,BADAN PUSAT STATISTIK KAB SAMOSIR — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB SAMOSIR,"Sumatera Utara, Samosir (Kab.)",NATIONAL,3,598000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB SAMPANG,BADAN PUSAT STATISTIK KAB SAMPANG — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB SAMPANG,"Jawa Timur, Sampang (Kab.)",NATIONAL,6,50247000,June 2026; May 2026,IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
BADAN PUSAT STATISTIK KAB SIAK,BADAN PUSAT STATISTIK KAB SIAK — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB SIAK,"Riau, Siak (Kab.)",NATIONAL,1,750000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB SIDENRENG RAPPANG,BADAN PUSAT STATISTIK KAB SIDENRENG RAPPANG — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB SIDENRENG RAPPANG,"Sulawesi Selatan, Sidenreng Rappang (Kab.)",NATIONAL,2,2149000,May 2026,PRINTER; UPS,,,,,,,,
BADAN PUSAT STATISTIK KAB SIDOARJO,BADAN PUSAT STATISTIK KAB SIDOARJO — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB SIDOARJO,"Jawa Timur, Sidoarjo (Kab.)",NATIONAL,3,2875000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB SINTANG,BADAN PUSAT STATISTIK KAB SINTANG — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB SINTANG,"Kalimantan Barat, Sintang (Kab.)",NATIONAL,1,12250000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB SOLOK SELATAN,BADAN PUSAT STATISTIK KAB SOLOK SELATAN — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB SOLOK SELATAN,"Sumatera Barat, Solok Selatan (Kab.)",NATIONAL,1,1274000,May 2026,UPS,,,,,,,,
BADAN PUSAT STATISTIK KAB SUBANG,BADAN PUSAT STATISTIK KAB SUBANG — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB SUBANG,"Jawa Barat, Subang (Kab.)",NATIONAL,2,22429000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB SUKABUMI,BADAN PUSAT STATISTIK KAB SUKABUMI — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB SUKABUMI,"Jawa Barat, Sukabumi (Kab.)",NATIONAL,1,47418000,May 2026,LAPTOP,,,,,,,,
BADAN PUSAT STATISTIK KAB SUKAMARA,BADAN PUSAT STATISTIK KAB SUKAMARA — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB SUKAMARA,"Kalimantan Tengah, Sukamara (Kab.)",NATIONAL,1,977000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB SUMENEP,BADAN PUSAT STATISTIK KAB SUMENEP — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB SUMENEP,"Jawa Timur, Sumenep (Kab.)",NATIONAL,4,1625000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB TANAH DATAR,BADAN PUSAT STATISTIK KAB TANAH DATAR — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB TANAH DATAR,"Sumatera Barat, Tanah Datar (Kab.)",NATIONAL,3,12750000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB TANAH LAUT,BADAN PUSAT STATISTIK KAB TANAH LAUT — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB TANAH LAUT,"Kalimantan Selatan, Tanah Laut (Kab.)",NATIONAL,2,1127000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB TANGERANG,BADAN PUSAT STATISTIK KAB TANGERANG — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB TANGERANG,"Banten, Tangerang (Kab.)",NATIONAL,1,37529000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB TANGGAMUS,BADAN PUSAT STATISTIK KAB TANGGAMUS — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB TANGGAMUS,"Lampung, Tanggamus (Kab.)",NATIONAL,1,125000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB TAPIN,BADAN PUSAT STATISTIK KAB TAPIN — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB TAPIN,"Kalimantan Selatan, Tapin (Kab.)",NATIONAL,5,1200000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB TUBAN,BADAN PUSAT STATISTIK KAB TUBAN — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB TUBAN,"Jawa Timur, Tuban (Kab.)",NATIONAL,1,2850000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB TULANGBAWANG,BADAN PUSAT STATISTIK KAB TULANGBAWANG — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB TULANGBAWANG,"Lampung, Tulang Bawang (Kab.)",NATIONAL,1,2958000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KAB TULUNGAGUNG,BADAN PUSAT STATISTIK KAB TULUNGAGUNG — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB TULUNGAGUNG,"Jawa Timur, Tulungagung (Kab.)",NATIONAL,6,3462000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KABUPATEN ADMINISTRASI KEPULAUAN SERIBU,BADAN PUSAT STATISTIK KABUPATEN ADMINISTRASI KEPULAUAN SERIBU — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KABUPATEN ADMINISTRASI KEPULAUAN SERIBU,"DKI Jakarta, Jakarta Pusat (Kota)",NATIONAL,3,12340000,June 2026,IT_HARDWARE; UPS,,,,,,,,
BADAN PUSAT STATISTIK KABUPATEN BATU BARA,BADAN PUSAT STATISTIK KABUPATEN BATU BARA — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KABUPATEN BATU BARA,"Sumatera Utara, Batubara (Kab.)",NATIONAL,3,24500000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KABUPATEN NIAS UTARA,BADAN PUSAT STATISTIK KABUPATEN NIAS UTARA — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KABUPATEN NIAS UTARA,"Sumatera Utara, Nias Utara (Kab.)",NATIONAL,2,798000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KABUPATEN TANA TIDUNG,BADAN PUSAT STATISTIK KABUPATEN TANA TIDUNG — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KABUPATEN TANA TIDUNG,"Kalimantan Utara, Tana Tidung (Kab.)",NATIONAL,3,3383000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KOTA BANDA ACEH,BADAN PUSAT STATISTIK KOTA BANDA ACEH — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KOTA BANDA ACEH,"Aceh, Banda Aceh (Kota)",NATIONAL,7,13875000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KOTA BANJAR BARU,BADAN PUSAT STATISTIK KOTA BANJAR BARU — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KOTA BANJAR BARU,"Kalimantan Selatan, Banjar Baru (Kota)",NATIONAL,3,3150000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KOTA BANJAR,BADAN PUSAT STATISTIK KOTA BANJAR — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KOTA BANJAR,"Jawa Barat, Banjar (Kota)",NATIONAL,2,600000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KOTA BANJARMASIN,BADAN PUSAT STATISTIK KOTA BANJARMASIN — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KOTA BANJARMASIN,"Kalimantan Selatan, Banjarmasin (Kota)",NATIONAL,1,200000,June 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KOTA BATAM,BADAN PUSAT STATISTIK KOTA BATAM — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KOTA BATAM,"Kepulauan Riau, Batam (Kota)",NATIONAL,1,15080000,May 2026,IT_HARDWARE,,,,,,,,
BADAN PUSAT STATISTIK KOTA BATU,BADAN PUSAT STATISTIK KOTA BATU — Badan Pusat Statistik,Badan Pusat Statistik,BADAN PUSAT STATISTIK KOTA BATU,"Jawa Timur, Batu (Kota)",NATIONAL,1,125000,May 2026,IT_HARDWARE,,,,,,,,
