institution_name,institution_display_name,parent_organization,work_unit,location_hint,target_level,total_relevant_packages,total_pagu,months_found,relevant_categories,official_website,contact_email,contact_phone,contact_person,contact_role,contact_source_url,contact_source_type,contact_notes
UPT PENGUJIAN SERTIFIKASI MUTU BARANG - LEMBAGA TEMBAKAU DI JEMBER,UPT PENGUJIAN SERTIFIKASI MUTU BARANG - LEMBAGA TEMBAKAU DI JEMBER — Provinsi Jawa Timur,Provinsi Jawa Timur,UPT PENGUJIAN SERTIFIKASI MUTU BARANG - LEMBAGA TEMBAKAU DI JEMBER,"Jawa Timur, Jember (Kab.)",PROVINCE,1,320000,May 2026,NETWORKING,,,,,,,,
UPT PENGUJIAN SERTIFIKASI MUTU BARANG - LEMBAGA TEMBAKAU DI SURABAYA,UPT PENGUJIAN SERTIFIKASI MUTU BARANG - LEMBAGA TEMBAKAU DI SURABAYA — Provinsi Jawa Timur,Provinsi Jawa Timur,UPT PENGUJIAN SERTIFIKASI MUTU BARANG - LEMBAGA TEMBAKAU DI SURABAYA,"Jawa Timur, Surabaya (Kota)",PROVINCE,1,26000000,May 2026,CCTV,,,,,,,,
UPT PENILAIAN KOMPETENSI APARATUR SIPIL NEGARA PROVINSI KALIMANTAN BARAT,UPT PENILAIAN KOMPETENSI APARATUR SIPIL NEGARA PROVINSI KALIMANTAN BARAT — Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,UPT PENILAIAN KOMPETENSI APARATUR SIPIL NEGARA PROVINSI KALIMANTAN BARAT,"Kalimantan Barat, Pontianak (Kota)",PROVINCE,7,103260000,June 2026; May 2026,DESKTOP; IT_HARDWARE,,,,,,,,
UPT PENINGKATAN TENAGA KESEJAHTERAAN SOSIAL MALANG,UPT PENINGKATAN TENAGA KESEJAHTERAAN SOSIAL MALANG — Provinsi Jawa Timur,Provinsi Jawa Timur,UPT PENINGKATAN TENAGA KESEJAHTERAAN SOSIAL MALANG,"Jawa Timur, Malang (Kota)",PROVINCE,1,1875200,May 2026,IT_HARDWARE,,,,,,,,
UPT PERIKANAN BUDIDAYA AIR PAYAU DAN LAUT,UPT PERIKANAN BUDIDAYA AIR PAYAU DAN LAUT — Provinsi Jawa Timur,Provinsi Jawa Timur,UPT PERIKANAN BUDIDAYA AIR PAYAU DAN LAUT,"Jawa Timur, Pasuruan (Kab.)",PROVINCE,1,2136000,May 2026,SCANNER,,,,,,,,
UPT PUSKESMAS CARENANG DINKES,UPT PUSKESMAS CARENANG DINKES — Kab. Serang,Kab. Serang,UPT PUSKESMAS CARENANG DINKES,"Banten, Serang (Kota)",HEALTH_UNIT,2,50000000,June 2026; May 2026,DESKTOP; OFFICE_FURNITURE,,,,,,,,
UPT PUSKESMAS DONOMULYO,UPT PUSKESMAS DONOMULYO — Kab. Malang,Kab. Malang,UPT PUSKESMAS DONOMULYO,"Jawa Timur, Malang (Kab.)",HEALTH_UNIT,1,6426900,May 2026,CCTV,,,,,,,,
UPT PUSKESMAS EMPAGAE,UPT PUSKESMAS EMPAGAE — Kab. Sidenreng Rappang,Kab. Sidenreng Rappang,UPT PUSKESMAS EMPAGAE,"Sulawesi Selatan, Sidenreng Rappang (Kab.)",HEALTH_UNIT,1,7600000,May 2026,IT_HARDWARE,,,,,,,,
UPT PUSKESMAS GRIBIG,UPT PUSKESMAS GRIBIG — Kab. Kudus,Kab. Kudus,UPT PUSKESMAS GRIBIG,"Jawa Tengah, Kudus (Kab.)",HEALTH_UNIT,1,42920000,May 2026,IT_HARDWARE,,,,,,,,
UPT PUSKESMAS GUNUNG SARI DINKES,UPT PUSKESMAS GUNUNG SARI DINKES — Kab. Serang,Kab. Serang,UPT PUSKESMAS GUNUNG SARI DINKES,"Banten, Serang (Kab.)",HEALTH_UNIT,1,21000000,May 2026,CCTV,,,,,,,,
UPT PUSKESMAS KARANGKETUG,UPT PUSKESMAS KARANGKETUG — Kota Pasuruan,Kota Pasuruan,UPT PUSKESMAS KARANGKETUG,"Jawa Timur, Pasuruan (Kota)",HEALTH_UNIT,2,51722100,June 2026,DESKTOP,,,,,,,,
UPT PUSKESMAS KEPANJEN,UPT PUSKESMAS KEPANJEN — Kab. Malang,Kab. Malang,UPT PUSKESMAS KEPANJEN,"Jawa Timur, Malang (Kab.)",HEALTH_UNIT,1,18000000,May 2026,DESKTOP,,,,,,,,
UPT PUSKESMAS KETAWANG,UPT PUSKESMAS KETAWANG — Kab. Malang,Kab. Malang,UPT PUSKESMAS KETAWANG,"Jawa Timur, Malang (Kab.)",HEALTH_UNIT,2,12000000,June 2026; May 2026,AUDIO; STORAGE,,,,,,,,
UPT PUSKESMAS PABUARAN DINKES,UPT PUSKESMAS PABUARAN DINKES — Kab. Serang,Kab. Serang,UPT PUSKESMAS PABUARAN DINKES,"Banten, Serang (Kab.)",HEALTH_UNIT,1,22150000,May 2026,CCTV,,,,,,,,
UPT PUSKESMAS PORIS GAGA,UPT PUSKESMAS PORIS GAGA — Kota Tangerang,Kota Tangerang,UPT PUSKESMAS PORIS GAGA,"Banten, Tangerang (Kota)",HEALTH_UNIT,1,9945000,June 2026,OFFICE_FURNITURE,,,,,,,,
UPT Panti Sosial Anak,UPT Panti Sosial Anak — Provinsi Sulawesi Tengah,Provinsi Sulawesi Tengah,UPT Panti Sosial Anak,"Sulawesi Tengah, Palu (Kota)",PROVINCE,1,550000,May 2026,IT_HARDWARE,,,,,,,,
UPT Proteksi Tanaman Pangan dan Hortikultura,UPT Proteksi Tanaman Pangan dan Hortikultura — Provinsi Sulawesi Tengah,Provinsi Sulawesi Tengah,UPT Proteksi Tanaman Pangan dan Hortikultura,"Sulawesi Tengah, Sigi (Kab.)",PROVINCE,1,1500000,May 2026,IT_HARDWARE,,,,,,,,
UPT Puskesmas Amahusu,UPT Puskesmas Amahusu — Kota Ambon,Kota Ambon,UPT Puskesmas Amahusu,"Maluku, Ambon (Kota)",HEALTH_UNIT,1,2397526,June 2026,STORAGE,,,,,,,,
UPT Puskesmas Babakan Sari,UPT Puskesmas Babakan Sari — Kota Bandung,Kota Bandung,UPT Puskesmas Babakan Sari,"Jawa Barat, Bandung (Kota)",HEALTH_UNIT,1,3000000,June 2026,IT_HARDWARE,,,,,,,,
UPT Puskesmas Belakang Soya,UPT Puskesmas Belakang Soya — Kota Ambon,Kota Ambon,UPT Puskesmas Belakang Soya,"Maluku, Ambon (Kota)",HEALTH_UNIT,3,6900000,June 2026,LAPTOP; OFFICE_FURNITURE,,,,,,,,
UPT Puskesmas Bontang Lestari,UPT Puskesmas Bontang Lestari — Kota Bontang,Kota Bontang,UPT Puskesmas Bontang Lestari,"Kalimantan Timur, Bontang (Kota)",HEALTH_UNIT,2,292648110,May 2026,DESKTOP; IT_HARDWARE,,,,,,,,
UPT Puskesmas Bontang Selatan 1,UPT Puskesmas Bontang Selatan 1 — Kota Bontang,Kota Bontang,UPT Puskesmas Bontang Selatan 1,"Kalimantan Timur, Bontang (Kota)",HEALTH_UNIT,1,1874740,May 2026,IT_HARDWARE,,,,,,,,
UPT Puskesmas Bontang Utara 1,UPT Puskesmas Bontang Utara 1 — Kota Bontang,Kota Bontang,UPT Puskesmas Bontang Utara 1,"Kalimantan Timur, Bontang (Kota)",HEALTH_UNIT,2,17850000,May 2026,DESKTOP; IT_HARDWARE,,,,,,,,
